strategy_name,role,symbol,learning_score,learning_status,recommendation,suggested_allocation_multiplier,evidence_label,live_trade_count,live_win_rate_percent,live_profit_factor,live_expectancy_percent,hall_score,hall_profit_factor,hall_consistency_percent,hall_drawdown_percent,reasons
MM-0012,LONG,MULTI,67.2148,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,30.1504,1.4,77.78,2.2955,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0031,LONG,MULTI,66.8769,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,30.1559,1.3722,77.78,2.1557,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0109,LONG,MULTI,65.8907,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,29.8996,1.5398,66.67,1.4523,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0025,LONG,MULTI,65.8433,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,28.5792,1.4508,77.78,2.098,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0008,LONG,MULTI,65.2977,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,28.8707,1.3141,77.78,1.8116,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0050,LONG,MULTI,64.706,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,29.0751,1.3344,77.78,1.9631,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0285,LONG,MULTI,64.2018,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,27.8618,1.8586,44.44,1.5496,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0287,LONG,MULTI,64.1801,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,27.8321,1.8586,44.44,1.5496,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0043,LONG,MULTI,64.1232,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,27.9128,1.1895,88.89,1.8854,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0049,LONG,MULTI,64.0679,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,28.2361,1.3628,77.78,1.809,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0493,LONG,MULTI,63.5632,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,28.405,1.4552,66.67,1.4523,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0495,LONG,MULTI,62.5348,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,26.0525,1.5767,66.67,1.4523,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0497,LONG,MULTI,62.4805,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,25.9783,1.5767,66.67,1.4523,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0044,LONG,MULTI,61.3926,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,26.7562,1.2777,77.78,2.0003,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0067,LONG,MULTI,60.7075,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,26.041,1.3866,66.67,1.9158,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0123,LONG,MULTI,60.1816,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,26.0503,1.4023,66.67,1.849,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
